<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
SBER,5,20170317,181000,161.0200000,161.2000000,160.8500000,161.1000000,566510
SBER,5,20170317,181500,161.0900000,161.1300000,160.7000000,160.7700000,1051090
SBER,5,20170317,182000,160.7700000,161.0100000,160.6100000,160.9100000,812200
SBER,5,20170317,182500,160.9600000,161.0300000,160.7300000,160.8400000,558630
SBER,5,20170317,183000,160.8400000,160.9700000,160.4000000,160.4500000,2153690
SBER,5,20170317,183500,160.4500000,160.4500000,159.9300000,159.9500000,1994450
SBER,5,20170317,184000,160.0000000,160.1900000,159.6700000,159.8200000,2634980
SBER,5,20170317,185000,161.1500000,161.1500000,161.1500000,161.1500000,6762740
SBER,5,20170320,100500,161.5300000,162.1900000,161.5000000,161.7100000,1190660
SBER,5,20170320,101000,161.8000000,161.9400000,161.2500000,161.3600000,763300
SBER,5,20170320,101500,161.3600000,161.4500000,160.8700000,160.9200000,529960
SBER,5,20170320,102000,160.9000000,161.0900000,160.7200000,160.9100000,423370
SBER,5,20170320,102500,160.9400000,161.4000000,160.6100000,161.3800000,474060
SBER,5,20170320,103000,161.3700000,161.4000000,160.9300000,161.0000000,245010
SBER,5,20170320,103500,161.0100000,161.1500000,160.8600000,161.1500000,373140
SBER,5,20170320,104000,161.1500000,161.1500000,160.9300000,161.0500000,209610
SBER,5,20170320,104500,161.0800000,161.3700000,161.0200000,161.3400000,340230
SBER,5,20170320,105000,161.3300000,162.5000000,161.1600000,162.4800000,1266950
SBER,5,20170320,105500,162.4200000,162.9900000,162.3000000,162.6900000,2747770
SBER,5,20170320,110000,162.6700000,162.8000000,162.5100000,162.6300000,379480
SBER,5,20170320,110500,162.6000000,162.9900000,162.5600000,162.9900000,1451480
SBER,5,20170320,111000,162.9900000,163.4500000,162.8800000,162.9100000,930900
SBER,5,20170320,111500,162.9300000,163.1000000,162.5100000,162.7500000,1075920
